sample	sample_ID	sample_name	env	treat	rep	copies.raw	copies.ext.factor	super.vol	sub.vol
22	Holland Urban Core 3 Control	Holland	soil	C	1	1030333	50	1.2	0.4
22	Holland Urban Core 3 DNase	Holland	soil	E	1	863000	50	1.2	0.4
23	Feces Sample 1 Control 2	Feces1	feces	C	1	293666667	50	1.4	0.4
23	Feces Sample 1 DNase 2	Feces1	feces	E	1	197000000	50	1.4	0.4
24	Feces Sample 2 Control 1	Feces2	feces	C	2	194350000	50	1.4	0.4
24	Feces Sample 2 DNase 1	Feces2	feces	E	2	103605000	50	1.4	0.4
25	T7 r6 Core 1 Control	T7	soil	C	1	1354333	50	1.35	0.4
25	T7 r6 Core 2 Control	T7	soil	C	2	4256667	50	1.35	0.4
25	T7 r6 Core 1 DNase	T7	soil	E	1	2970000	50	1.35	0.4
25	T7 r6 Core 2 DNase	T7	soil	E	2	4636667	50	1.35	0.4
26	Entisol Core 1 Control	Entisol	soil	C	1	2356667	50	1.4	0.4
26	Entisol Core 2 Control	Entisol	soil	C	2	2106667	50	1.4	0.4
26	Entisol Core 1 DNase	Entisol	soil	E	1	1736667	50	1.4	0.4
26	Entisol Core 2 DNase	Entisol	soil	E	2	1853333	50	1.4	0.4
27	Spodo C1 Control	Spodosol1	soil	C	1	16366667	50	1.4	0.4
27	Spodo C1 DNase	Spodosol1	soil	E	1	12710000	50	1.4	0.4
27	Spodosol Core 2 Control	Spodosol2	soil	C	2	7566667	50	1.4	0.4
27	Spodosol Core 2 DNase	Spodosol2	soil	E	2	8006667	50	1.4	0.4
29	Histosol C1 Control	Histosol	soil	C	1	19600000	50	1.4	0.4
29	Histosol C2 Control	Histosol	soil	C	2	17700000	50	1.4	0.4
29	Histosol C1 DNase	Histosol	soil	E	1	13500000	50	1.4	0.4
29	Histosol C2 DNase	Histosol	soil	E	2	9670000	50	1.4	0.4
30	Dog Control 1	FecesDog	feces	C	1	199333333	500	1.5	0.4
30	Dog Control 2	FecesDog	feces	C	2	195333333	500	1.5	0.4
30	Dog DNase 1	FecesDog	feces	E	1	120333333	500	1.5	0.4
30	Dog DNase 2	FecesDog	feces	E	2	116000000	500	1.5	0.4
31	Cow Control 1 8/8	FecesCow1	feces	C	1	207333333	50	1.45	0.4
31	Cow Control 2 8/8	FecesCow1	feces	C	2	292000000	50	1.45	0.4
31	Cow DNase 1 8/8	FecesCow1	feces	E	1	69866667	50	1.45	0.4
31	Cow DNase 2 8/8	FecesCow1	feces	E	2	121333333	50	1.45	0.4
32	Cat Control 1	FecesCat	feces	C	1	147000000	50	1.5	0.4
32	Cat Control 2	FecesCat	feces	C	2	152333333	50	1.5	0.4
32	Cat DNase 1	FecesCat	feces	E	1	171666667	50	1.5	0.4
32	Cat DNase 2	FecesCat	feces	E	2	164000000	50	1.5	0.4
33	Cow Control 1 12/18	FecesCow2	feces	C	1	250000000	50	1.45	0.4
33	Cow Control 2 12/18	FecesCow2	feces	C	2	302000000	50	1.45	0.4
33	Cow DNase 1 12/18	FecesCow2	feces	E	1	276000000	50	1.45	0.4
33	Cow DNase 2 12/18	FecesCow2	feces	E	2	166000000	50	1.45	0.4
34	Horse Control 1	FecesHorse	feces	C	1	71300000	50	1.25	0.4
34	Horse Control 2	FecesHorse	feces	C	2	79733333	50	1.25	0.4
34	Horse DNase 1	FecesHorse	feces	E	1	18000000	50	1.25	0.4
34	Horse DNase 2	FecesHorse	feces	E	2	29700000	50	1.25	0.4
35	Rabbit Control 1	FecesRabbit	feces	C	1	488000000	50	1.2	0.4
35	Rabbit Control 2	FecesRabbit	feces	C	2	404333333	50	1.2	0.4
35	Rabbit DNase 1	FecesRabbit	feces	E	1	465666667	50	1.2	0.4
35	Rabbit DNase 2	FecesRabbit	feces	E	2	274666667	50	1.2	0.4
